tiempo,j1,j2,j3
2.60552,-1.21964,-0.727398,1.40827
2.70574,-1.21964,-0.726671,1.40827
2.80607,-1.21967,-0.726853,1.40824
2.90622,-1.21967,-0.727035,1.40827
3.00634,-1.21967,-0.726793,1.40827
3.10651,-1.21967,-0.72758,1.40887
3.20683,-1.21967,-0.732821,1.41218
3.30756,-1.21955,-0.739121,1.47079
3.40788,-1.20035,-0.737455,1.59005
3.50826,-1.19829,-0.733063,1.59217
3.60852,-1.19825,-0.72758,1.44877
3.70875,-1.20047,-0.729186,1.23979
3.809,-1.20131,-0.764354,1.24218
3.90913,-1.18893,-0.814366,1.41342
4.00936,-1.16802,-0.821243,1.49312
4.10973,-1.16808,-0.809368,1.48663
4.21009,-1.16805,-0.782529,1.37973
4.3104,-1.16802,-0.780651,1.29267
4.41052,-1.13452,-0.78053,1.29495
4.5108,-1.09705,-0.780136,1.29431
4.61096,-1.02853,-0.770595,1.29343
4.71115,-0.961797,-0.757963,1.2825
4.81131,-0.901486,-0.756963,1.18814
4.91142,-0.807278,-0.753752,1.1288
5.01173,-0.710253,-0.747452,1.08533
5.11205,-0.617106,-0.719886,1.04571
5.21228,-0.515234,-0.676205,1.04583
5.31251,-0.397823,-0.617348,1.04425
5.41279,-0.260692,-0.528229,1.04428
5.51308,-0.157245,-0.44217,1.04053
5.61322,-0.0516779,-0.357989,0.978245
5.71339,0.0654304,-0.261328,0.906938
5.81366,0.147824,-0.192323,0.906484
5.91388,0.214042,-0.125772,0.905939
6.01413,0.264993,-0.0461042,0.905393
6.11425,0.316489,0.0631585,0.879827
6.21437,0.326395,0.123197,0.820879
6.31466,0.326425,0.171088,0.792677
6.41488,0.326183,0.184962,0.720613
6.51504,0.326486,0.185144,0.693259
6.61521,0.328243,0.190142,0.689231
6.71538,0.328273,0.198563,0.689352
6.81549,0.328364,0.218828,0.685898
6.91581,0.328455,0.236216,0.657848
7.01607,0.328515,0.236701,0.633857
7.11626,0.328545,0.239033,0.591448
7.21641,0.328515,0.242395,0.583906
7.31664,0.328515,0.2636,0.583997
7.41679,0.328424,0.272566,0.584269
7.51707,0.328455,0.272596,0.584148
7.61728,0.328485,0.273051,0.584239
7.7174,0.328515,0.273535,0.584209
7.8175,0.328485,0.273445,0.584239
7.91762,0.328515,0.273384,0.584148
8.01781,0.328515,0.273293,0.584269
8.11806,0.328455,0.273263,0.584239
8.21838,0.328515,0.273263,0.584269
8.31864,0.328515,0.273202,0.5843
8.41896,0.328515,0.273202,0.58433
8.5192,0.328515,0.273233,0.58433
8.61929,0.328485,0.273202,0.584421
8.7194,0.328485,0.273172,0.584663
8.81967,0.328515,0.273202,0.584663
8.91995,0.328485,0.273142,0.584845
9.0202,0.328485,0.273051,0.584905
9.12031,0.328485,0.27299,0.585239
9.22046,0.328455,0.272869,0.585148
9.32073,0.328485,0.272808,0.585269
9.42097,0.328485,0.272718,0.585239
9.52115,0.328485,0.272627,0.585269
9.62139,0.328485,0.272687,0.58536
9.7217,0.328455,0.272596,0.585996
9.82197,0.328455,0.272566,0.587662
