tiempo,j1,j2,j3
1.50428,0.429872,0.315974,0.500785
1.60444,0.429841,0.315914,0.500724
1.70458,0.429902,0.315914,0.500815
1.8048,0.429872,0.315823,0.500785
1.90503,0.429841,0.315883,0.500785
2.00524,0.429811,0.315793,0.500815
2.10569,0.429872,0.315641,0.500815
2.20602,0.429872,0.313036,0.500815
2.30618,0.429872,0.294376,0.500785
2.40647,0.429841,0.248999,0.500755
2.50658,0.429872,0.186658,0.500724
2.60686,0.429963,0.119653,0.500815
2.70715,0.430084,-0.00466495,0.500724
2.80742,0.429811,-0.108293,0.500603
2.90796,0.429751,-0.205106,0.50024
3.00816,0.431417,-0.258147,0.499058
3.10836,0.480611,-0.258874,0.499573
3.2086,0.580786,-0.25321,0.499997
3.30885,0.7078,-0.241517,0.500876
3.40908,0.822151,-0.242789,0.501815
3.50928,0.899608,-0.242789,0.501936
3.60953,0.943955,-0.242668,0.505056
3.70975,0.93723,-0.241184,0.505086
3.80999,0.822818,-0.208499,0.506238
3.9103,0.662877,-0.160607,0.506177
4.01037,0.477854,-0.152186,0.505935
4.11052,0.280836,-0.153822,0.505844
4.2107,0.0270809,-0.149066,0.505511
4.31082,-0.162334,-0.138646,0.504965
4.41096,-0.307796,-0.112686,0.504632
4.51123,-0.429326,-0.100508,0.505026
4.61135,-0.538771,-0.126408,0.505662
4.71157,-0.621286,-0.190293,0.537953
4.81172,-0.673237,-0.309401,0.62068
4.91192,-0.755903,-0.435567,0.636674
5.01204,-0.810186,-0.589782,0.636553
5.11229,-0.817214,-0.738728,0.635735
5.21249,-0.817183,-0.908362,0.634826
5.31259,-0.817092,-1.11562,0.633433
5.41275,-0.81685,-1.29055,0.633282
5.51304,-0.815699,-1.43714,0.631737
5.61331,-0.812912,-1.5265,0.617378
5.71358,-0.812912,-1.52289,0.582724
5.81384,-0.812912,-1.45237,0.583754
5.91415,-0.813003,-1.35247,0.589389
6.01457,-0.813155,-1.23112,0.68293
6.11476,-0.813124,-1.05919,0.934746
6.21501,-0.814366,-0.889884,1.10287
6.31514,-0.833783,-0.750269,1.21401
6.41532,-0.845567,-0.638976,1.2622
6.51561,-0.864469,-0.536045,1.39433
6.61581,-0.945318,-0.460467,1.52695
6.71592,-1.02226,-0.429084,1.52417
6.81607,-1.10502,-0.437536,1.52392
6.91647,-1.16893,-0.44838,1.5225
7.01679,-1.22867,-0.460073,1.52062
7.11729,-1.27623,-0.486305,1.51977
7.21745,-1.29231,-0.513629,1.52129
7.31761,-1.29252,-0.534712,1.52289
7.41798,-1.29125,-0.565791,1.52347
7.5183,-1.28525,-0.614803,1.52392
7.6186,-1.27926,-0.683596,1.52462
7.71886,-1.27907,-0.726096,1.52556
7.81959,-1.27816,-0.763597,1.54997
7.91984,-1.24496,-0.77735,1.65921
8.02018,-1.21655,-0.773381,1.76711
8.12041,-1.19647,-0.770595,1.77017
8.22058,-1.19692,-0.769898,1.76489
8.32073,-1.20089,-0.761901,1.76447
8.42095,-1.23006,-0.759992,1.76405
8.52128,-1.26456,-0.746088,1.76411
8.62183,-1.28916,-0.722249,1.76408
8.72215,-1.29586,-0.689867,1.76426
8.82231,-1.29558,-0.675569,1.76429
8.92238,-1.28377,-0.673933,1.76414
9.02322,-1.24893,-0.67463,1.76414
9.12382,-1.21791,-0.67463,1.7642
9.22411,-1.19735,-0.674085,1.76405
9.32435,-1.17508,-0.674054,1.76335
9.42448,-1.16599,-0.670419,1.75847
9.52473,-1.16578,-0.670722,1.70501
9.62494,-1.16581,-0.670601,1.70058
9.72524,-1.16587,-0.670662,1.69434
9.82544,-1.16612,-0.674357,1.6088
9.92572,-1.16615,-0.675327,1.55876
10.0261,-1.16615,-0.678083,1.50411
10.1264,-1.16605,-0.68193,1.47012
10.2266,-1.16602,-0.684081,1.44725
10.3269,-1.16605,-0.69647,1.39473
10.4272,-1.1659,-0.724884,1.37758
10.5274,-1.16578,-0.740182,1.37707
10.6275,-1.16445,-0.744695,1.37637
10.7277,-1.14852,-0.744816,1.36831
10.8279,-1.14358,-0.762688,1.35638
10.9281,-1.14358,-0.785044,1.34257
11.0284,-1.14352,-0.792435,1.34305
11.1286,-1.14358,-0.792496,1.3555
11.2288,-1.14361,-0.800917,1.35423
11.3289,-1.14355,-0.821939,1.3548
11.4291,-1.14352,-0.837449,1.35453
11.5293,-1.14349,-0.846688,1.35535
11.6294,-1.14352,-0.859804,1.3555
11.7297,-1.14352,-0.881735,1.35889
11.8299,-1.14352,-0.890762,1.3591
11.93,-1.14352,-0.891308,1.37089
12.0302,-1.14349,-0.890429,1.44728
12.1303,-1.14346,-0.890369,1.46464
12.2305,-1.14346,-0.890308,1.46349
12.3306,-1.14346,-0.890308,1.4634
12.4308,-1.14352,-0.890278,1.4634
12.531,-1.14352,-0.890308,1.46355
12.6312,-1.14361,-0.890308,1.4637
12.7314,-1.14364,-0.890278,1.46367
12.8315,-1.14385,-0.89049,1.46367
12.9317,-1.14497,-0.890641,1.46361
13.032,-1.15345,-0.89052,1.46367
13.1323,-1.1812,-0.890187,1.46228
13.2325,-1.18111,-0.890399,1.4624
13.3326,-1.18114,-0.890156,1.46237
13.4328,-1.18114,-0.890187,1.46243
13.533,-1.18114,-0.890126,1.4624
13.6331,-1.18117,-0.890187,1.46255
13.7334,-1.18114,-0.890247,1.4627
13.8336,-1.18114,-0.890217,1.46285
13.9339,-1.18111,-0.890187,1.4631
